account_id,churn_probability_q1,churn_prob_q1,churn_prob_q2,churn_prob_q3,churn_prob_q4,churn_date_window,churn_prob_within_2q,churn_prob_within_4q,risk_score,risk_tier,risk_type,predicted_churn_quarter,top_drivers,recommended_action
A-00bed1,0.2400268920250231,0.2400268920250231,0.42244087515485396,0.5610705968521267,0.666425457308109,3-6 months,0.42244087515485396,0.666425457308109,24,Low,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-00cac8,0.25778919572351,0.25778919572351,0.44912312201524585,0.5911332293336138,0.6965346653017703,3-6 months,0.44912312201524585,0.6965346653017703,26,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0158bb,0.31844900229006806,0.31844900229006806,0.5354882375205965,0.6834115448341636,0.7842288225182782,3-6 months,0.5354882375205965,0.7842288225182782,32,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-016043,0.3198326311040092,0.3198326311040092,0.5373723502891051,0.6853357687176045,0.7859756577229735,3-6 months,0.5373723502891051,0.7859756577229735,32,Low,Support Risk,2025Q1,"Usage decline, Commercial contraction, Support pressure",Usage re-engagement / training / Commercial check-in
A-019782,0.1311737834376963,0.1311737834376963,0.24514100541403283,0.34415871569584966,0.4301878982926629,> 365 days,0.24514100541403283,0.4301878982926629,13,Low,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-029f69,0.2795483634969144,0.2795483634969144,0.4809494394600259,0.6260491742311318,0.7305865156031387,3-6 months,0.4809494394600259,0.7305865156031387,28,Low,Commercial Risk,2025Q1,"Support pressure, Usage decline, Commercial contraction",Proactive support / escalation review / Usage re-engagement / training
A-02cd81,0.2979690259645764,0.2979690259645764,0.5071525114948744,0.6540057975938345,0.7571013530741901,3-6 months,0.5071525114948744,0.7571013530741901,30,Low,Support Risk,2025Q1,"Support pressure, Usage decline, Commercial contraction",Proactive support / escalation review / Usage re-engagement / training
A-02fac6,0.23531510272862532,0.23531510272862532,0.41525700788506714,0.5528558651444364,0.6580756331724755,3-6 months,0.41525700788506714,0.6580756331724755,24,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-034368,0.24863086113672458,0.24863086113672458,0.43544441716385995,0.575810357883955,0.6812769938885462,3-6 months,0.43544441716385995,0.6812769938885462,25,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-0354fe,0.32930377487406615,0.32930377487406615,0.5501665736018226,0.6982984189792778,0.7976498884948755,3-6 months,0.5501665736018226,0.7976498884948755,33,Low,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-038089,0.24195131670124584,0.24195131670124584,0.42536219374902506,0.5643965675977638,0.669791391627067,3-6 months,0.42536219374902506,0.669791391627067,24,Low,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-039727,0.39518262437878565,0.39518262437878565,0.634195942146667,0.7787553497375563,0.8661873912580353,0-90 days,0.634195942146667,0.8661873912580353,40,Medium,Commercial Risk,2025Q1,"Commercial contraction, Usage decline, Support pressure",Commercial check-in / Usage re-engagement / training
A-0532a9,0.30766470780526967,0.30766470780526967,0.5206718431816374,0.6681442004919974,0.7702445180811112,3-6 months,0.5206718431816374,0.7702445180811112,31,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
A-054577,0.3167006439576961,0.3167006439576961,0.5331019900321727,0.6809688904515504,0.7820062482880826,3-6 months,0.5331019900321727,0.7820062482880826,32,Low,Commercial Risk,2025Q1,"Usage decline, Support pressure, Commercial contraction",Usage re-engagement / training / Proactive support / escalation review
